"brand","emotion","age","n"
"100 grand bar","joy",35,145
"100 grand bar","joy",30,137
"100 grand bar","joy",45,136
"100 grand bar","joy",34,133
"100 grand bar","joy",31,129
"100 grand bar","joy",32,129
"100 grand bar","joy",33,123
"100 grand bar","joy",29,118
"100 grand bar","joy",27,108
"100 grand bar","joy",36,106
"100 grand bar","joy",40,106
"100 grand bar","joy",37,99
"100 grand bar","joy",38,97
"100 grand bar","joy",43,96
"100 grand bar","joy",46,96
"100 grand bar","joy",28,94
"100 grand bar","joy",44,91
"100 grand bar","joy",42,88
"100 grand bar","joy",39,83
"100 grand bar","joy",41,81
"100 grand bar","joy",26,77
"100 grand bar","despair",32,73
"100 grand bar","despair",35,72
"100 grand bar","despair",30,71
"100 grand bar","despair",31,70
"100 grand bar","joy",50,65
"100 grand bar","despair",33,63
"100 grand bar","despair",26,62
"100 grand bar","joy",25,59
"100 grand bar","joy",24,57
"100 grand bar","joy",48,57
"100 grand bar","despair",27,54
"100 grand bar","joy",52,54
"100 grand bar","despair",34,53
"100 grand bar","joy",47,53
"100 grand bar","joy",51,50
"100 grand bar","despair",29,47
"100 grand bar","joy",49,47
"100 grand bar","despair",25,46
"100 grand bar","joy",22,46
"100 grand bar","despair",28,45
"100 grand bar","despair",38,45
"100 grand bar","despair",37,43
"100 grand bar","joy",53,43
"100 grand bar","despair",24,42
"100 grand bar","despair",45,42
"100 grand bar","despair",40,39
"100 grand bar","joy",23,38
"100 grand bar","joy",55,38
"100 grand bar","joy",54,37
"100 grand bar","despair",36,35
"100 grand bar","despair",39,32
"100 grand bar","joy",58,31
"100 grand bar","neutral",30,31
"100 grand bar","neutral",33,31
"100 grand bar","despair",23,30
"100 grand bar","despair",44,29
"100 grand bar","joy",21,29
"100 grand bar","joy",57,29
"100 grand bar","neutral",34,28
"100 grand bar","despair",50,27
"100 grand bar","neutral",28,27
"100 grand bar","despair",41,26
"100 grand bar","neutral",36,26
"100 grand bar","despair",21,25
"100 grand bar","joy",20,25
"100 grand bar","neutral",35,24
"100 grand bar","despair",22,23
"100 grand bar","despair",46,23
"100 grand bar","despair",42,22
"100 grand bar","joy",56,22
"100 grand bar","neutral",32,22
"100 grand bar","neutral",42,22
"100 grand bar","despair",19,20
"100 grand bar","despair",47,19
"100 grand bar","neutral",31,19
"100 grand bar","despair",18,18
"100 grand bar","neutral",24,18
"100 grand bar","neutral",37,18
"100 grand bar","despair",43,17
"100 grand bar","joy",62,17
"100 grand bar","neutral",27,17
"100 grand bar","despair",49,16
"100 grand bar","joy",19,16
"100 grand bar","neutral",26,16
"100 grand bar","neutral",29,16
"100 grand bar","neutral",38,16
"100 grand bar","neutral",40,16
"100 grand bar","neutral",47,16
"100 grand bar","despair",17,15
"100 grand bar","despair",52,15
"100 grand bar","joy",59,15
"100 grand bar","joy",18,14
"100 grand bar","neutral",39,14
"100 grand bar","neutral",44,14
"100 grand bar","despair",13,13
"100 grand bar","despair",20,13
"100 grand bar","despair",48,13
"100 grand bar","despair",56,13
