"","brand","emotion","age","n"
"1","100 grand bar","joy",35,145
"2","100 grand bar","joy",30,137
"3","100 grand bar","joy",45,136
"4","100 grand bar","joy",34,133
"5","100 grand bar","joy",31,129
"6","100 grand bar","joy",32,129
"7","100 grand bar","joy",33,123
"8","100 grand bar","joy",29,118
"9","100 grand bar","joy",27,108
"10","100 grand bar","joy",36,106
"11","100 grand bar","joy",40,106
"12","100 grand bar","joy",37,99
"13","100 grand bar","joy",38,97
"14","100 grand bar","joy",43,96
"15","100 grand bar","joy",46,96
"16","100 grand bar","joy",28,94
"17","100 grand bar","joy",44,91
"18","100 grand bar","joy",42,88
"19","100 grand bar","joy",39,83
"20","100 grand bar","joy",41,81
"21","100 grand bar","joy",26,77
"22","100 grand bar","despair",32,73
"23","100 grand bar","despair",35,72
"24","100 grand bar","despair",30,71
"25","100 grand bar","despair",31,70
"26","100 grand bar","joy",50,65
"27","100 grand bar","despair",33,63
"28","100 grand bar","despair",26,62
"29","100 grand bar","joy",25,59
"30","100 grand bar","joy",24,57
"31","100 grand bar","joy",48,57
"32","100 grand bar","despair",27,54
"33","100 grand bar","joy",52,54
"34","100 grand bar","despair",34,53
"35","100 grand bar","joy",47,53
"36","100 grand bar","joy",51,50
"37","100 grand bar","despair",29,47
"38","100 grand bar","joy",49,47
"39","100 grand bar","despair",25,46
"40","100 grand bar","joy",22,46
"41","100 grand bar","despair",28,45
"42","100 grand bar","despair",38,45
"43","100 grand bar","despair",37,43
"44","100 grand bar","joy",53,43
"45","100 grand bar","despair",24,42
"46","100 grand bar","despair",45,42
"47","100 grand bar","despair",40,39
"48","100 grand bar","joy",23,38
"49","100 grand bar","joy",55,38
"50","100 grand bar","joy",54,37
"51","100 grand bar","despair",36,35
"52","100 grand bar","despair",39,32
"53","100 grand bar","joy",58,31
"54","100 grand bar","neutral",30,31
"55","100 grand bar","neutral",33,31
"56","100 grand bar","despair",23,30
"57","100 grand bar","despair",44,29
"58","100 grand bar","joy",21,29
"59","100 grand bar","joy",57,29
"60","100 grand bar","neutral",34,28
"61","100 grand bar","despair",50,27
"62","100 grand bar","neutral",28,27
"63","100 grand bar","despair",41,26
"64","100 grand bar","neutral",36,26
"65","100 grand bar","despair",21,25
"66","100 grand bar","joy",20,25
"67","100 grand bar","neutral",35,24
"68","100 grand bar","despair",22,23
"69","100 grand bar","despair",46,23
"70","100 grand bar","despair",42,22
"71","100 grand bar","joy",56,22
"72","100 grand bar","neutral",32,22
"73","100 grand bar","neutral",42,22
"74","100 grand bar","despair",19,20
"75","100 grand bar","despair",47,19
"76","100 grand bar","neutral",31,19
"77","100 grand bar","despair",18,18
"78","100 grand bar","neutral",24,18
"79","100 grand bar","neutral",37,18
"80","100 grand bar","despair",43,17
"81","100 grand bar","joy",62,17
"82","100 grand bar","neutral",27,17
"83","100 grand bar","despair",49,16
"84","100 grand bar","joy",19,16
"85","100 grand bar","neutral",26,16
"86","100 grand bar","neutral",29,16
"87","100 grand bar","neutral",38,16
"88","100 grand bar","neutral",40,16
"89","100 grand bar","neutral",47,16
"90","100 grand bar","despair",17,15
"91","100 grand bar","despair",52,15
"92","100 grand bar","joy",59,15
"93","100 grand bar","joy",18,14
"94","100 grand bar","neutral",39,14
"95","100 grand bar","neutral",44,14
"96","100 grand bar","despair",13,13
"97","100 grand bar","despair",20,13
"98","100 grand bar","despair",48,13
"99","100 grand bar","despair",56,13
"100","100 grand bar","neutral",25,13
"101","100 grand bar","despair",51,12
"102","100 grand bar","joy",61,12
"103","100 grand bar","neutral",43,12
"104","100 grand bar","neutral",45,12
"105","100 grand bar","despair",16,11
"106","100 grand bar","despair",58,11
"107","100 grand bar","joy",60,11
"108","100 grand bar","joy",63,11
"109","100 grand bar","despair",54,10
"110","100 grand bar","despair",60,10
"111","100 grand bar","joy",17,10
"112","100 grand bar","despair",57,9
"113","100 grand bar","joy",65,9
"114","100 grand bar","neutral",20,9
"115","100 grand bar","neutral",23,9
"116","100 grand bar","neutral",41,9
"117","100 grand bar","neutral",58,9
"118","100 grand bar","despair",53,8
"119","100 grand bar","joy",12,8
"120","100 grand bar","joy",64,8
"121","100 grand bar","neutral",21,8
"122","100 grand bar","despair",55,7
"123","100 grand bar","despair",67,7
"124","100 grand bar","joy",66,7
"125","100 grand bar","neutral",18,7
"126","100 grand bar","neutral",46,7
"127","100 grand bar","neutral",54,7
"128","100 grand bar","despair",59,6
"129","100 grand bar","joy",13,6
"130","100 grand bar","joy",16,6
"131","100 grand bar","joy",67,6
"132","100 grand bar","neutral",13,6
"133","100 grand bar","neutral",19,6
"134","100 grand bar","neutral",55,6
"135","100 grand bar","neutral",57,6
"136","100 grand bar","neutral",59,6
"137","100 grand bar","neutral",67,6
"138","100 grand bar","despair",14,5
"139","100 grand bar","despair",15,5
"140","100 grand bar","despair",61,5
"141","100 grand bar","despair",62,5
"142","100 grand bar","despair",66,5
"143","100 grand bar","joy",9,5
"144","100 grand bar","joy",14,5
"145","100 grand bar","joy",15,5
"146","100 grand bar","joy",69,5
"147","100 grand bar","neutral",14,5
"148","100 grand bar","neutral",22,5
"149","100 grand bar","neutral",49,5
"150","100 grand bar","neutral",50,5
"151","100 grand bar","neutral",52,5
"152","100 grand bar","neutral",60,5
"153","100 grand bar","neutral",64,5
"154","100 grand bar","despair",64,4
"155","100 grand bar","despair",65,4
"156","100 grand bar","despair",69,4
"157","100 grand bar","joy",11,4
"158","100 grand bar","joy",70,4
"159","100 grand bar","neutral",16,4
"160","100 grand bar","neutral",48,4
"161","100 grand bar","neutral",51,4
"162","100 grand bar","neutral",53,4
"163","100 grand bar","despair",9,3
"164","100 grand bar","despair",10,3
"165","100 grand bar","despair",70,3
"166","100 grand bar","despair",71,3
"167","100 grand bar","joy",72,3
"168","100 grand bar","joy",75,3
"169","100 grand bar","neutral",65,3
"170","100 grand bar","neutral",70,3
"171","100 grand bar","despair",8,2
"172","100 grand bar","despair",11,2
"173","100 grand bar","despair",12,2
"174","100 grand bar","despair",68,2
"175","100 grand bar","joy",6,2
"176","100 grand bar","joy",68,2
"177","100 grand bar","joy",74,2
"178","100 grand bar","neutral",6,2
"179","100 grand bar","neutral",11,2
"180","100 grand bar","neutral",12,2
"181","100 grand bar","neutral",17,2
"182","100 grand bar","neutral",56,2
"183","100 grand bar","neutral",62,2
"184","100 grand bar","despair",5,1
"185","100 grand bar","despair",63,1
