lng,locName,howMany,sciName,obsValid,obsReviewed,comName,lat,countryCode
-80.0253582,Homebase,2,Spinus tristis,TRUE,FALSE,American Goldfinch,40.7493811,US
-80.0253582,Homebase,1,Baeolophus bicolor,TRUE,FALSE,Tufted Titmouse,40.7493811,US
-80.0253582,Homebase,4,Melospiza melodia,TRUE,FALSE,Song Sparrow,40.7493811,US
-80.0253582,Homebase,1,Agelaius phoeniceus,TRUE,FALSE,Red-winged Blackbird,40.7493811,US
-80.0253582,Homebase,1,Melanerpes carolinus,TRUE,FALSE,Red-bellied Woodpecker,40.7493811,US
-80.0253582,Homebase,3,Cardinalis cardinalis,TRUE,FALSE,Northern Cardinal,40.7493811,US
-80.0253582,Homebase,1,Zenaida macroura,TRUE,FALSE,Mourning Dove,40.7493811,US
-80.0253582,Homebase,2,Passer domesticus,TRUE,FALSE,House Sparrow,40.7493811,US
-80.0253582,Homebase,2,Haemorhous mexicanus,TRUE,FALSE,House Finch,40.7493811,US
-80.0253582,Homebase,1,Picoides pubescens,TRUE,FALSE,Downy Woodpecker,40.7493811,US
-80.0253582,Homebase,1,Quiscalus quiscula,TRUE,FALSE,Common Grackle,40.7493811,US
-80.0253582,Homebase,1,Thryothorus ludovicianus,TRUE,FALSE,Carolina Wren,40.7493811,US
-80.0253582,Homebase,1,Molothrus ater,TRUE,FALSE,Brown-headed Cowbird,40.7493811,US
-80.0253582,Homebase,1,Cyanocitta cristata,TRUE,FALSE,Blue Jay,40.7493811,US
-80.0253582,Homebase,2,Turdus migratorius,TRUE,FALSE,American Robin,40.7493811,US
-70.560143,Cape Cod Canal--Herring Run,2,Somateria mollissima,TRUE,FALSE,Common Eider,41.7736001,US
-70.560143,Cape Cod Canal--Herring Run,20,Mergus serrator,TRUE,FALSE,Red-breasted Merganser,41.7736001,US
-71.2608929,5 Standish,1,Colaptes auratus,TRUE,FALSE,Northern Flicker,42.3133599,US
-83.041883,"Education Service Center, Warren US-MI (42.5292,-83.0419)",2,Corvus brachyrhynchos,TRUE,FALSE,American Crow,42.529155,US
-75.4253381,PA - Delaware - Springton Reservoir from Gradyville Rd.,2,Aix sponsa,TRUE,FALSE,Wood Duck,39.9640072,US
-82.5329179,Phillippi Estate Park,2,Cathartes aura,TRUE,FALSE,Turkey Vulture,27.2714242,US
