countryCode,countryName,pop,area,density
US,United States,310232863,9629091,32.218291736987425
BR,Brazil,201103330,8511965,23.62595828342809
MX,Mexico,112468855,1972550,57.016985627740745
CO,Colombia,4779e4,1138910,41.96117340263937
AR,Argentina,41343201,2766890,14.942119491559115
CA,Canada,33679e3,9984670,3.37307091771686
PE,Peru,29907003,1285220,23.2699483356935
VE,Venezuela,27223228,912050,29.84839427662957
CL,Chile,16746491,756950,22.12364224849726
EC,Ecuador,14790608,283560,52.16041754831429
